PrimaryPropertyType,Neighborhood,LargestPropertyUseType,ComplianceStatus,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseTypeGFA,ENERGYSTARScore,SourceEUIWN(kBtu/sf),SiteEnergyUseWN(kBtu),TotalGHGEmissions,GHGEmissionsIntensity,BuildingAge
Warehouse,GREATER DUWAMISH,Non-Refrigerated Warehouse,Compliant,1.0,1,22803,0,22803,19373.0,78.0,77.0,859387.1875,21.5,0.94,31
RefrigeratedWarehouse,GREATER DUWAMISH,Refrigerated Warehouse,Compliant,1.0,1,41550,0,41550,41550.0,94.0,48.59999847,642645.1875,4.48,0.11,65
Other,GREATER DUWAMISH,Other,Compliant,1.0,2,54170,0,54170,54170.0,,226.0,6052090.0,178.35,3.29,22
KTwelveSchool,GREATER DUWAMISH,K-12 School,Error - Correct Default Data,1.0,2,64493,0,64493,64493.0,85.0,87.30000305,2037940.0,28.57,0.44,16
KTwelveSchool,SOUTHEAST,K-12 School,Compliant,1.0,2,42252,0,42252,42252.0,49.0,81.30000305,2617491.25,102.35,2.42,104
SelfStorageFacility,GREATER DUWAMISH,Self-Storage Facility,Compliant,1.0,1,23100,0,23100,23250.0,,105.4000015,893514.5,13.87,0.6,61
WorshipFacility,SOUTHEAST,Worship Facility,Compliant,1.0,3,22895,0,22895,22895.0,96.0,45.5,505585.0,12.92,0.56,35
RetailStore,GREATER DUWAMISH,Retail Store,Error - Correct Default Data,1.0,2,54211,17471,36740,30000.0,100.0,113.6999969,1267463.125,8.84,0.16,14
KTwelveSchool,SOUTHEAST,K-12 School,Error - Correct Default Data,1.0,1,41428,0,41428,41428.0,90.0,73.69999695,1556431.5,44.27,1.07,55
SelfStorageFacility,NORTHEAST,Self-Storage Facility,Compliant,1.0,6,48179,7132,41047,48179.0,,47.5,837795.8125,12.22,0.25,10
Warehouse,GREATER DUWAMISH,Non-Refrigerated Warehouse,Compliant,1.0,1,52325,0,52325,52325.0,67.0,41.09999847,919070.8125,18.03,0.34,79
Other,GREATER DUWAMISH,"Repair Services (Vehicle, Shoe, Locksmith, etc)",Compliant,1.0,4,20600,0,20600,20600.0,,27.0,318703.1875,9.71,0.47,96
RetailStore,GREATER DUWAMISH,Retail Store,Compliant,1.0,1,25880,0,25880,25880.0,100.0,19.79999924,162960.0,1.14,0.04,72
Warehouse,GREATER DUWAMISH,Non-Refrigerated Warehouse,Compliant,1.0,1,45842,0,45842,49802.0,99.0,31.39999962,847703.375,12.55,0.27,56
Other,GREATER DUWAMISH,Other,Compliant,1.0,1,31365,0,31365,31365.0,,66.90000153,678829.8125,5.09,0.16,44
Other,GREATER DUWAMISH,Other,Compliant,1.0,1,32100,0,32100,32100.0,,50.0,904458.125,25.77,0.8,106
Warehouse,GREATER DUWAMISH,Non-Refrigerated Warehouse,Compliant,1.0,1,20520,0,20520,15400.0,20.0,112.5,1284942.5,40.85,1.99,50
Warehouse,GREATER DUWAMISH,Non-Refrigerated Warehouse,Compliant,1.0,1,22972,0,22972,22972.0,12.0,73.80000305,539778.5,3.45,0.15,71
Warehouse,GREATER DUWAMISH,Non-Refrigerated Warehouse,Compliant,1.0,1,24990,0,24990,25649.0,80.0,44.59999847,550746.6875,8.7,0.35,63
RetailStore,GREATER DUWAMISH,Retail Store,Compliant,1.0,2,24000,0,24000,22740.0,,107.0,1497394.75,40.94,1.71,65
Warehouse,GREATER DUWAMISH,Non-Refrigerated Warehouse,Compliant,1.0,1,100386,0,100386,50628.0,,86.09999847,4060714.75,95.93,0.96,53
DistributionCenter,GREATER DUWAMISH,Distribution Center,Compliant,1.0,1,24354,0,24354,18470.0,10.0,72.30000305,735907.8125,17.29,0.71,50
DistributionCenter,GREATER DUWAMISH,Distribution Center,Compliant,1.0,1,33600,0,33600,24000.0,58.0,68.69999695,918950.6875,15.35,0.46,57
Other,GREATER DUWAMISH,Manufacturing/Industrial Plant,Compliant,1.0,1,20819,0,20819,20819.0,,179.6999969,1891759.125,51.27,2.46,42
Warehouse,GREATER DUWAMISH,Non-Refrigerated Warehouse,Compliant,1.0,1,23296,0,23296,19471.0,,146.0,1639903.75,40.01,1.72,49
MixedUseProperty,GREATER DUWAMISH,Non-Refrigerated Warehouse,Compliant,1.0,1,35222,0,35222,15000.0,,126.5,1840153.25,40.42,1.15,62
RefrigeratedWarehouse,GREATER DUWAMISH,Refrigerated Warehouse,Compliant,1.0,1,25520,0,25520,25200.0,100.0,121.8000031,1777297.75,59.0,2.31,59
Other,GREATER DUWAMISH,Other,Compliant,1.0,1,25460,0,25460,8223.0,,346.6000061000001,907591.625,5.82,0.23,64
KTwelveSchool,DELRIDGE,K-12 School,Error - Correct Default Data,1.0,1,41526,0,41526,41526.0,79.0,97.30000305,2033428.125,56.04,1.35,46
SmallandMidSizedOffice,NORTH,Office,Compliant,1.0,2,24291,0,24291,24291.0,87.0,119.0,920430.625,6.42,0.26,42
RetailStore,NORTH,Retail Store,Compliant,1.0,2,20738,0,20738,20738.0,44.0,79.80000305,526752.8125,3.67,0.18,58
MixedUseProperty,NORTH,Office,Compliant,1.0,4,30948,0,30948,11729.0,,130.6000061,975936.5,6.41,0.21,16
MedicalOffice,NORTH,Medical Office,Compliant,1.0,2,28385,7056,21329,20575.0,1.0,405.1000061,2654316.0,18.5,0.65,30
Warehouse,GREATER DUWAMISH,Non-Refrigerated Warehouse,Compliant,1.0,1,21755,0,21755,17650.0,,116.0999985,956406.375,17.51,0.8,38
SmallandMidSizedOffice,GREATER DUWAMISH,Office,Compliant,1.0,1,23143,0,23143,15609.0,75.0,102.6999969,1328072.5,38.87,1.68,33
SmallandMidSizedOffice,GREATER DUWAMISH,Office,Compliant,1.0,1,28800,0,28800,28800.0,73.0,107.5,2438706.5,60.12,2.09,54
Warehouse,GREATER DUWAMISH,Non-Refrigerated Warehouse,Compliant,1.0,1,39600,0,39600,39600.0,85.0,32.09999847,405050.4063,2.82,0.07,64
Warehouse,GREATER DUWAMISH,Non-Refrigerated Warehouse,Compliant,1.0,1,39600,0,39600,39600.0,91.0,32.0,522105.3125,9.25,0.23,64
DistributionCenter,GREATER DUWAMISH,Distribution Center,Compliant,1.0,1,41248,0,41248,41430.0,37.0,77.69999695,1180859.625,16.5,0.4,79
Other,GREATER DUWAMISH,Other,Compliant,1.0,1,36400,0,36400,21400.0,,94.69999695,1638043.5,46.16,1.27,7
Other,SOUTHWEST,Other,Compliant,1.0,1,31332,0,31332,31332.0,,358.1000061000001,3573328.25,24.91,0.8,96
WorshipFacility,SOUTHWEST,Worship Facility,Compliant,1.0,2,35864,0,35864,35864.0,75.0,69.80000305,1404208.25,43.64,1.22,68
WorshipFacility,GREATER DUWAMISH,Worship Facility,Compliant,1.0,1,20484,0,20484,20484.0,69.0,61.40000153,961253.6875,38.38,1.87,62
MedicalOffice,NORTHEAST,Medical Office,Compliant,1.0,4,45264,17622,27642,21743.0,4.0,267.1000061,1849331.25,12.89,0.28,32
MedicalOffice,NORTHEAST,Medical Office,Compliant,2.0,4,36932,14576,22356,27642.0,,320.7999878,2824096.75,19.69,0.53,29
Other,CENTRAL,Other/Specialty Hospital,Compliant,1.0,4,45082,0,45082,45082.0,,244.1999969,4426520.0,93.5,2.07,43
WorshipFacility,NORTHWEST,Worship Facility,Compliant,0.0,2,41600,0,41600,41600.0,58.0,72.80000305,1376059.25,30.99,0.74,65
SmallandMidSizedOffice,LAKE UNION,Office,Compliant,1.0,2,34110,0,34110,34110.0,31.0,238.6999969,2592728.0,17.87,0.52,56
Warehouse,GREATER DUWAMISH,Non-Refrigerated Warehouse,Compliant,1.0,1,23750,0,23750,19430.0,,78.59999847,522972.1875,3.65,0.15,46
Warehouse,GREATER DUWAMISH,Non-Refrigerated Warehouse,Compliant,1.0,1,43390,0,43390,36430.0,87.0,38.59999847,533742.8125,3.72,0.09,46
Warehouse,GREATER DUWAMISH,Non-Refrigerated Warehouse,Compliant,1.0,1,35400,0,35400,35400.0,84.0,29.10000038,419978.6875,9.29,0.26,57
DistributionCenter,GREATER DUWAMISH,Distribution Center,Compliant,1.0,1,28144,0,28144,22201.0,19.0,92.19999695,870127.125,8.22,0.29,50
Warehouse,GREATER DUWAMISH,Non-Refrigerated Warehouse,Compliant,1.0,3,71283,0,71283,57910.0,41.0,96.90000153,2654698.5,43.17,0.61,100
Warehouse,GREATER DUWAMISH,Non-Refrigerated Warehouse,Compliant,1.0,1,23792,0,23792,22992.0,,370.8999939,2810298.5,19.88,0.84,27
SmallandMidSizedOffice,GREATER DUWAMISH,Office,Compliant,1.0,2,47368,0,47368,47368.0,99.0,68.5,1033962.125,7.27,0.15,37
MixedUseProperty,GREATER DUWAMISH,Non-Refrigerated Warehouse,Compliant,1.0,1,46183,0,46183,18871.0,,112.8000031,1898673.75,27.92,0.6,85
SmallandMidSizedOffice,CENTRAL,Office,Compliant,1.0,5,72613,22788,49825,49825.0,84.0,145.6000061,2756929.5,41.96,0.58,32
RetailStore,SOUTHEAST,Retail Store,Error - Correct Default Data,1.0,1,36071,0,36071,36071.0,97.0,81.90000153,1519952.125,50.76,1.41,48
KTwelveSchool,SOUTHEAST,K-12 School,Compliant,1.0,3,51672,0,51672,51672.0,97.0,82.0,1523036.0,20.3,0.39,27
MedicalOffice,SOUTHEAST,Medical Office,Compliant,1.0,2,38352,11082,27270,19987.0,36.0,240.89999390000003,2108861.75,14.7,0.38,26
MixedUseProperty,SOUTHEAST,Fitness Center/Health Club/Gym,Compliant,1.0,1,28425,0,28425,14081.0,,175.5,2326238.0,57.25,2.01,21
Other,NORTH,Automobile Dealership,Compliant,1.0,3,35115,0,35115,35115.0,,151.8999939,2053325.25,31.94,0.91,7
MixedUseProperty,NORTHWEST,Other - Education,Compliant,1.0,1,66704,0,66704,23904.0,,19.39999962,677904.625,19.77,0.3,44
Warehouse,NORTHWEST,Non-Refrigerated Warehouse,Compliant,1.0,1,25658,0,25658,18854.0,,110.0,1063960.125,18.87,0.74,47
SmallandMidSizedOffice,EAST,Office,Compliant,1.0,2,36000,0,36000,27600.0,95.0,79.69999695,1085871.625,18.04,0.5,109
MixedUseProperty,EAST,Parking,Compliant,1.0,1,36000,0,36000,18000.0,59.0,162.8000031,1280845.875,26.52,0.74,103
Warehouse,EAST,Non-Refrigerated Warehouse,Compliant,1.0,2,43200,0,43200,43200.0,38.0,106.0,2061027.625,49.18,1.14,101
SmallandMidSizedOffice,GREATER DUWAMISH,Office,Compliant,1.0,4,53840,12870,40970,42800.0,71.0,188.6000061,3034711.5,46.85,0.87,103
RetailStore,GREATER DUWAMISH,Retail Store,Compliant,1.0,1,43794,0,43794,34038.0,88.0,70.30000305,1278856.25,23.5,0.54,41
Warehouse,GREATER DUWAMISH,Non-Refrigerated Warehouse,Compliant,1.0,1,48280,0,48280,40780.0,18.0,128.8999939,3123892.75,78.57,1.63,48
DistributionCenter,GREATER DUWAMISH,Distribution Center,Compliant,1.0,1,36040,0,36040,31476.0,,25.89999962,390592.0,7.74,0.21,62
KTwelveSchool,NORTHEAST,K-12 School,Error - Correct Default Data,1.0,1,64314,0,64314,65210.0,86.0,89.80000305,3370435.5,108.05,1.68,68
WorshipFacility,NORTHEAST,Worship Facility,Compliant,1.0,2,20385,0,20385,20385.0,65.0,67.30000305,908877.375,34.04,1.67,66
WorshipFacility,NORTHEAST,Worship Facility,Compliant,1.0,1,24295,0,24295,24295.0,53.0,29.29999924,227074.2969,1.51,0.06,70
SmallandMidSizedOffice,NORTHEAST,Office,Compliant,1.0,2,20317,0,20317,20317.0,83.0,97.90000153,633770.5,4.33,0.21,49
Other,NORTHWEST,Movie Theater,Compliant,1.0,1,33392,0,33392,33392.0,,262.0,2786648.75,19.43,0.58,30
Warehouse,GREATER DUWAMISH,Non-Refrigerated Warehouse,Compliant,1.0,1,32000,0,32000,32040.0,3.0,181.8000031,2340055.75,41.77,1.31,50
Warehouse,GREATER DUWAMISH,Non-Refrigerated Warehouse,Compliant,1.0,1,44000,0,44000,45449.0,15.0,167.1000061,4947630.5,175.53,3.99,46
Warehouse,GREATER DUWAMISH,Non-Refrigerated Warehouse,Compliant,1.0,1,36000,0,36000,36000.0,44.0,123.5999985,3253334.25,124.4,3.46,43
Warehouse,GREATER DUWAMISH,Non-Refrigerated Warehouse,Compliant,1.0,1,31360,0,31360,29640.0,,93.59999847,1526335.25,43.18,1.38,37
Warehouse,GREATER DUWAMISH,Non-Refrigerated Warehouse,Compliant,1.0,1,33320,0,33320,32200.0,,159.3000031,2499644.75,64.75,1.94,37
Warehouse,GREATER DUWAMISH,Non-Refrigerated Warehouse,Compliant,1.0,1,48020,0,48020,47800.0,71.0,119.8000031,2567827.75,59.14,1.23,37
Warehouse,GREATER DUWAMISH,Non-Refrigerated Warehouse,Compliant,1.0,1,27420,0,27420,27850.0,55.0,88.59999847,1340563.125,39.05,1.42,37
KTwelveSchool,CENTRAL,K-12 School,Non-Compliant,1.0,2,24152,0,24152,24152.0,100.0,21.0,161363.4063,1.12,0.05,87
KTwelveSchool,NORTHEAST,K-12 School,Compliant,1.0,2,43645,0,43645,37000.0,71.0,95.5,2332477.5,85.15,1.95,67
RetailStore,NORTHEAST,Retail Store,Compliant,1.0,1,26853,0,26853,20360.0,68.0,189.6999969,1453484.75,21.46,0.8,64
Other,GREATER DUWAMISH,Other,Compliant,1.0,4,44775,0,44775,44775.0,,47.5,1095347.375,29.88,0.67,107
Other,GREATER DUWAMISH,Other,Compliant,2.0,1,27760,0,27760,19715.0,,136.1000061,3262533.0,112.82,4.06,100
Other,GREATER DUWAMISH,Other - Entertainment/Public Assembly,Compliant,1.0,1,20975,0,20975,13144.0,,43.59999847,347437.6875,6.46,0.31,79
Other,GREATER DUWAMISH,Other,Compliant,1.0,1,26075,0,26075,26075.0,,184.1000061,1646355.25,17.6,0.67,98
Warehouse,GREATER DUWAMISH,Non-Refrigerated Warehouse,Compliant,1.0,1,29394,0,29394,29394.0,60.0,87.80000305,1597845.25,26.27,0.89,24
Warehouse,GREATER DUWAMISH,Non-Refrigerated Warehouse,Compliant,1.0,2,20400,0,20400,15000.0,69.0,50.59999847,501439.6875,12.17,0.6,90
SmallandMidSizedOffice,GREATER DUWAMISH,Office,Compliant,1.0,1,20460,0,20460,20460.0,16.0,138.6999969,903541.875,6.3,0.31,90
SelfStorageFacility,GREATER DUWAMISH,Self-Storage Facility,Compliant,1.0,2,25821,0,25821,25821.0,,26.10000038,214950.9063,1.46,0.06,91
RefrigeratedWarehouse,GREATER DUWAMISH,Refrigerated Warehouse,Compliant,1.0,2,21870,0,21870,21870.0,45.0,153.1999969,1067194.5,7.49,0.34,61
Warehouse,GREATER DUWAMISH,Non-Refrigerated Warehouse,Compliant,3.0,1,51664,0,51664,51664.0,,181.8000031,3743867.25,66.77,1.29,28
MedicalOffice,DELRIDGE,Medical Office,Compliant,1.0,1,43615,0,43615,43615.0,89.0,144.0,3389213.25,106.35,2.44,46
SmallandMidSizedOffice,DELRIDGE,Office,Compliant,1.0,3,36879,0,36879,16855.0,26.0,222.89999390000003,1196289.375,7.98,0.22,46
Other,DELRIDGE,Other,Compliant,1.0,2,28531,0,28531,28303.0,,279.7000122,3611021.0,92.7,3.25,14
Warehouse,DELRIDGE,Non-Refrigerated Warehouse,Compliant,1.0,2,36600,0,36600,43556.0,80.0,23.10000038,320606.5938,2.15,0.06,34
MixedUseProperty,SOUTHWEST,Office,Compliant,1.0,5,35176,0,35176,14452.0,,117.4000015,1080492.375,7.05,0.2,12
KTwelveSchool,NORTH,K-12 School,Error - Correct Default Data,1.0,1,36701,0,36701,40285.0,87.0,88.30000305,1760895.125,47.98,1.31,57
University,LAKE UNION,College/University,Compliant,1.0,2,41293,15243,26050,26393.0,,171.8999939,3023468.0,61.68,1.49,76
Warehouse,GREATER DUWAMISH,Non-Refrigerated Warehouse,Compliant,1.0,1,48890,0,48890,30889.0,49.0,96.0,2315404.0,61.6,1.26,75
SmallandMidSizedOffice,GREATER DUWAMISH,Office,Compliant,1.0,3,43473,0,43473,43473.0,3.0,319.0,4416909.5,30.79,0.71,16
RetailStore,DELRIDGE,Retail Store,Compliant,1.0,1,40265,0,40265,40793.0,19.0,276.10000610000003,3766310.0,35.48,0.88,26
RetailStore,DELRIDGE,Retail Store,Compliant,1.0,1,26208,0,26208,32427.0,79.0,123.5999985,1761050.125,37.61,1.44,11
MixedUseProperty,BALLARD,Other - Education,Compliant,1.0,1,42172,0,42172,12000.0,,115.5999985,3705229.5,152.14,3.61,90
SmallandMidSizedOffice,DOWNTOWN,Office,Compliant,1.0,5,32250,0,32250,32250.0,92.0,73.80000305,866241.875,11.44,0.35,106
RetailStore,NORTHWEST,Retail Store,Compliant,1.0,1,51000,0,51000,51000.0,95.0,75.69999695,1330840.875,14.17,0.28,63
MixedUseProperty,GREATER DUWAMISH,Other,Compliant,1.0,1,27000,0,27000,9000.0,,28.89999962,248334.9063,1.6,0.06,100
Other,GREATER DUWAMISH,Other - Entertainment/Public Assembly,Compliant,1.0,2,20747,0,20747,11815.0,,131.3000031,1051152.375,17.45,0.84,81
Warehouse,GREATER DUWAMISH,Non-Refrigerated Warehouse,Compliant,1.0,2,40800,0,40800,36000.0,,41.20000076,929876.625,27.83,0.68,88
SmallandMidSizedOffice,GREATER DUWAMISH,Office,Compliant,1.0,2,20150,0,20150,20150.0,80.0,92.30000305,592196.6875,4.02,0.2,96
SmallandMidSizedOffice,DOWNTOWN,Office,Compliant,1.0,7,36000,0,36000,31500.0,40.0,167.6999969,1682454.875,11.73,0.33,107
Warehouse,GREATER DUWAMISH,Non-Refrigerated Warehouse,Compliant,1.0,2,41276,0,41276,24300.0,,113.9000015,2880753.0,96.62,2.34,78
RefrigeratedWarehouse,GREATER DUWAMISH,Refrigerated Warehouse,Compliant,0.0,2,24430,0,24430,15667.0,,133.8000031,1297406.125,23.62,0.97,79
Other,GREATER DUWAMISH,Other,Non-Compliant,1.0,3,27690,0,27690,24717.0,,2.200000048,17260.0,0.12,0.0,106
SmallandMidSizedOffice,GREATER DUWAMISH,Office,Compliant,1.0,1,22580,0,22580,22580.0,90.0,122.0,937950.625,9.65,0.43,89
Warehouse,CENTRAL,Non-Refrigerated Warehouse,Compliant,1.0,1,20000,0,20000,20000.0,18.0,59.59999847,877874.875,33.52,1.68,90
Warehouse,CENTRAL,Non-Refrigerated Warehouse,Compliant,1.0,1,42000,0,42000,38000.0,,87.0,2298245.25,82.07,1.95,62
SelfStorageFacility,CENTRAL,Self-Storage Facility,Compliant,1.0,1,24248,0,24248,21018.0,,18.0,120610.5,0.79,0.03,54
SeniorCareCommunity,NORTH,Senior Care Community,Compliant,1.0,6,244500,0,244500,244500.0,100.0,103.1999969,11314740.0,292.8,1.2,7
Warehouse,GREATER DUWAMISH,Non-Refrigerated Warehouse,Compliant,1.0,1,24617,0,24617,22752.0,,15.10000038,109471.7969,0.75,0.03,84
Other,GREATER DUWAMISH,Parking,Compliant,1.0,3,127065,84710,42355,84710.0,,249.39999390000003,3363692.75,22.62,0.18,7
RetailStore,GREATER DUWAMISH,Retail Store,Compliant,1.0,1,37247,0,37247,37247.0,69.0,97.19999695,1988034.875,58.36,1.57,52
RetailStore,BALLARD,Retail Store,Compliant,1.0,1,25384,0,25384,23468.0,11.0,303.2999878,3207111.5,77.23,3.04,23
SmallandMidSizedOffice,GREATER DUWAMISH,Office,Compliant,0.0,3,49052,0,49052,32393.0,96.0,106.5999985,1441445.625,10.05,0.2,106
Warehouse,GREATER DUWAMISH,Non-Refrigerated Warehouse,Compliant,1.0,2,52110,0,52110,32000.0,34.0,30.5,671037.375,25.15,0.48,116
SmallandMidSizedOffice,GREATER DUWAMISH,Office,Non-Compliant,1.0,2,20970,0,20970,20970.0,100.0,23.39999962,233531.9063,5.43,0.26,106
SmallandMidSizedOffice,GREATER DUWAMISH,Office,Compliant,1.0,2,39036,0,39036,27636.0,,87.0,1633524.125,39.25,1.01,79
SmallandMidSizedOffice,GREATER DUWAMISH,Office,Compliant,1.0,1,26310,0,26310,24000.0,96.0,60.79999924,841208.1875,14.99,0.57,93
KTwelveSchool,DELRIDGE,K-12 School,Compliant,1.0,3,29874,0,29874,31375.0,95.0,69.69999695,1478408.125,54.27,1.82,54
WorshipFacility,MAGNOLIA / QUEEN ANNE,Worship Facility,Compliant,1.0,1,20140,0,20140,22000.0,35.0,67.80000305,1164370.875,47.08,2.34,51
SelfStorageFacility,NORTHWEST,Self-Storage Facility,Compliant,1.0,2,71874,31389,40485,71874.0,,33.59999847,1393424.5,44.97,0.63,26
SmallandMidSizedOffice,CENTRAL,Office,Compliant,1.0,2,39953,0,39953,30100.0,93.0,135.8999939,1608929.125,28.05,0.7,45
RetailStore,CENTRAL,Retail Store,Compliant,1.0,2,21200,0,21200,14168.0,15.0,244.8000031,1652954.75,11.69,0.55,18
RetailStore,CENTRAL,Retail Store,Compliant,1.0,2,23421,0,23421,19271.0,25.0,262.1000061,1955353.0,13.22,0.56,36
KTwelveSchool,BALLARD,K-12 School,Compliant,1.0,3,117116,0,117116,117116.0,83.0,77.19999695,6499178.0,256.31,2.19,85
WorshipFacility,BALLARD,Worship Facility,Compliant,1.0,2,24120,0,24120,24120.0,66.0,76.19999695,1024822.188,31.54,1.31,88
WorshipFacility,BALLARD,Worship Facility,Compliant,1.0,3,35736,0,35736,28970.0,88.0,52.20000076,1342448.875,51.15,1.43,87
Warehouse,GREATER DUWAMISH,Non-Refrigerated Warehouse,Compliant,1.0,1,51050,0,51050,49500.0,10.0,62.0,1355995.25,27.75,0.54,75
RetailStore,GREATER DUWAMISH,Retail Store,Compliant,1.0,2,21900,0,21900,21900.0,40.0,123.8000031,1439042.25,42.66,1.95,62
DistributionCenter,GREATER DUWAMISH,Distribution Center,Compliant,1.0,1,16300,0,16300,65164.0,100.0,6.900000095,150167.7969,1.6,0.1,64
Warehouse,GREATER DUWAMISH,Non-Refrigerated Warehouse,Compliant,1.0,1,33462,0,33462,33462.0,1.0,130.1000061,1386445.375,9.67,0.29,52
MixedUseProperty,GREATER DUWAMISH,Other,Compliant,1.0,1,35310,0,35310,10471.0,,95.0,1519845.5,44.68,1.27,64
Other,GREATER DUWAMISH,Other,Compliant,1.0,3,36140,0,36140,34733.0,,420.7000122,4653535.0,32.44,0.9,54
Warehouse,DOWNTOWN,Non-Refrigerated Warehouse,Compliant,1.0,1,23903,0,23903,18350.0,65.0,38.29999924,486884.9063,14.37,0.6,86
SelfStorageFacility,NORTHEAST,Self-Storage Facility,Compliant,1.0,3,22522,0,22522,22522.0,,42.40000153,630412.625,23.52,1.04,69
SelfStorageFacility,NORTHEAST,Self-Storage Facility,Compliant,1.0,4,38959,0,38959,38959.0,,54.20000076,963968.1875,23.84,0.61,20
Warehouse,GREATER DUWAMISH,Non-Refrigerated Warehouse,Compliant,1.0,2,25955,0,25955,14150.0,,147.3999939,1218112.0,8.49,0.33,88
KTwelveSchool,EAST,K-12 School,Compliant,1.0,4,46100,0,46100,46100.0,75.0,106.8000031,2412536.25,78.19,1.7,93
WorshipFacility,NORTHWEST,Worship Facility,Compliant,1.0,2,21936,0,21936,21936.0,96.0,40.29999924,686216.5,28.78,1.31,65
Other,NORTH,"Personal Services (Health/Beauty, Dry Cleaning, etc)",Compliant,1.0,1,25406,0,25406,25406.0,,259.1000061,2484501.5,41.96,1.65,56
SmallandMidSizedOffice,SOUTHEAST,Office,Compliant,1.0,2,23250,0,23250,22014.0,55.0,126.6999969,888432.5,6.3,0.27,49
Warehouse,GREATER DUWAMISH,Non-Refrigerated Warehouse,Compliant,1.0,1,30000,0,30000,30000.0,32.0,155.5,3246531.0,120.72,4.02,56
Warehouse,GREATER DUWAMISH,Non-Refrigerated Warehouse,Compliant,1.0,1,45036,0,45036,21110.0,,99.09999847,1989787.875,49.53,1.1,54
KTwelveSchool,SOUTHWEST,K-12 School,Error - Correct Default Data,1.0,1,51410,0,51410,51410.0,87.0,84.19999695,2256911.75,64.79,1.26,54
SmallandMidSizedOffice,NORTH,Office,Compliant,1.0,4,23022,0,23022,23022.0,78.0,127.5999985,1075427.75,14.64,0.64,36
RefrigeratedWarehouse,GREATER DUWAMISH,Refrigerated Warehouse,Compliant,1.0,1,27263,0,27263,22000.0,,278.0,2408141.75,17.22,0.63,49
Warehouse,GREATER DUWAMISH,Non-Refrigerated Warehouse,Compliant,1.0,1,31569,0,31569,33000.0,12.0,157.3999939,3344952.0,125.59,3.98,54
Warehouse,GREATER DUWAMISH,Non-Refrigerated Warehouse,Compliant,1.0,1,22509,0,22509,22509.0,57.0,24.79999924,177812.7969,1.24,0.06,60
Warehouse,GREATER DUWAMISH,Non-Refrigerated Warehouse,Compliant,1.0,1,39984,0,39984,31184.0,75.0,53.40000153,1163530.25,36.82,0.92,60
KTwelveSchool,EAST,K-12 School,Error - Correct Default Data,1.0,2,73769,0,73769,73769.0,92.0,67.30000305,2904558.75,94.85,1.29,91
WorshipFacility,EAST,Worship Facility,Compliant,1.0,1,26440,0,26440,26440.0,91.0,51.29999924,826275.1875,27.93,1.06,110
KTwelveSchool,NORTHEAST,K-12 School,Error - Correct Default Data,1.0,1,43578,0,43578,45370.0,83.0,84.90000153,1436773.875,24.63,0.57,55
SelfStorageFacility,GREATER DUWAMISH,Self-Storage Facility,Compliant,1.0,2,28800,0,28800,28800.0,,95.40000153,1266706.875,29.44,1.02,60
KTwelveSchool,CENTRAL,K-12 School,Compliant,4.0,2,28500,0,28500,31100.0,92.0,94.69999695,1300765.5,28.64,1.0,7
SmallandMidSizedOffice,LAKE UNION,Office,Compliant,1.0,3,23355,0,23355,21915.0,77.0,120.4000015,840549.375,5.86,0.25,67
SmallandMidSizedOffice,MAGNOLIA / QUEEN ANNE,Office,Compliant,1.0,4,30840,0,30840,29255.0,30.0,261.8999939,3840161.75,101.21,3.28,51
Other,NORTHEAST,Other,Compliant,1.0,1,20332,0,20332,20332.0,,45.29999924,431857.6875,10.99,0.54,70
WorshipFacility,CENTRAL,Worship Facility,Compliant,1.0,1,21850,0,21850,21850.0,100.0,26.0,359962.5938,13.09,0.6,116
MixedUseProperty,NORTHEAST,Multifamily Housing,Compliant,1.0,4,32282,6985,25297,12600.0,,135.5,1500695.375,34.62,1.07,19
LargeOffice,DOWNTOWN,Office,Compliant,1.0,13,307557,83064,224493,162422.0,,130.3999939,9691704.0,66.32,0.22,33
SelfStorageFacility,MAGNOLIA / QUEEN ANNE,Self-Storage Facility,Compliant,1.0,2,28309,0,28309,28309.0,,36.5,498364.9063,11.85,0.42,98
Hotel,DOWNTOWN,Hotel,Compliant,1.0,4,45500,0,45500,45500.0,77.0,121.3000031,2934339.25,122.0,2.68,102
SmallandMidSizedOffice,DOWNTOWN,Office,Compliant,1.0,5,38376,0,38376,29258.0,,212.39999390000003,2142457.5,14.35,0.37,116
SmallandMidSizedOffice,DOWNTOWN,Office,Compliant,1.0,4,42804,0,42804,24120.0,,110.6999969,1598032.0,46.53,1.09,116
SmallandMidSizedOffice,DOWNTOWN,Office,Compliant,1.0,4,33300,0,33300,26639.0,,109.8000031,1355968.5,18.76,0.56,116
Hotel,DOWNTOWN,Hotel,Non-Compliant,1.0,3,25450,0,25450,25450.0,99.0,60.79999924,492844.5938,3.51,0.14,116
Other,DOWNTOWN,Other,Compliant,1.0,3,22200,0,22200,22200.0,,17.5,231847.0938,7.05,0.32,116
Warehouse,MAGNOLIA / QUEEN ANNE,Non-Refrigerated Warehouse,Compliant,1.0,2,29498,0,29498,19749.0,,378.1000061,3930355.5,50.05,1.7,48
Warehouse,LAKE UNION,Non-Refrigerated Warehouse,Compliant,1.0,1,23050,0,23050,23050.0,27.0,66.30000305,486485.3125,3.25,0.14,78
